country_id ,country_name,notice_period,healthcare,other_benefits,employer_id,employer_name,employer_website,description,funding_stage,scale_up_xp,smb_customers,b2c_customers,last_funding_amount,industry,team_size,eng_team_size,tech_chalenges,employer_backend_stack,employer_frontend_stack ,tools_text ,architecture,dev_ops,,,company,current_employer?,experience_employer_id,experience_user_id,user_id,linkedin_profile,first_name,last_name,Type,seniority ,job,user_country_id,email,password,city,total_years_xp,next_jobs,english_fluent?,user_backend_stack 🚧,user_frontend_stack 🚧,years_xp_per_stack ,expected_wage,area_median_wage,full_remote_only,university,timezone,employed_more_one_year,current_job_tenure (years),empl. start_year,user_customer_id,tech_recruiter?,customer_id,customer_name,req_customer_id,req_id,req_title,,,,,,,,,,,email_template 
,,,,,11,Mach,http://www.somosmach.com,Mach is the first digital account in Chile that helps you move your money 100% free of charges and commissions. Similar companies include Revolut (🇬🇧) or N26 (🇪🇺).,Seed,,,true,,Fintech,11-50,75+,,Node Js,"JavaScript, TypeScript ",,"AWS, microservices",,,,Airnguru,true,2,11,11,https://www.linkedin.com/in/luis-arguello-p,Luis,Argüello,,Senior,Head of Systems Architecture,1,11@gmail.com,11@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,12,Mediastream ,http://mediastre.am,Video streaming company. ,Series A,true ,,,$1 700 000,Entertainment,51-100,20+ ,,Node Js,"React, JQuery",,"AWS Lambda, Mongo DB, S3, CloudFront. GraphQL ","TDD and Unit Test. Jest, Enzyme, Selenium/Cypres",,,Airnguru,true,2,12,12,https://www.linkedin.com/in/jorge-llancafil-s%C3%A1nchez-3b06b69b,Jorge,Llancafil Sánchez,Frontend,Senior,Angular developer,1,12@gmail.com,12@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,13,Poliglota ,http://www.poliglota.org,"Poliglota is a Language education Startup with a social methodology, gathering teachers and students in coffee places across the world.",Seed,,,,$2 500 000,EdTech,51-100,20+ ,,Ruby on Rails,React.js,,Jenkins and AWS,Scrum ,,,Airnguru,true,2,13,13,https://www.linkedin.com/in/cristopher-arenas-fuentes,Cristopher,Arenas Fuentes,,Mid-Senior,Senior Developer ,1,13@gmail.com,13@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,14,Rankmi,http://www.rankmi.com,"Rankmi is a web platfom where companies can assess, manage and develop their leaders. They use the latest developments in psychometrics to help organisations and individuals develop their talent, gain insight about their strengths and weaknesses and foster engagement and performance.",Series A,true ,,,$1 500 000,HRTech,51-100,45+,,"Ruby on rails, Python (Flask)",React.js,,"AWS, Postgres, BBDD No Sql, ElasticSearch; Heroku, Git",,,,Airnguru,true,2,14,14,https://www.linkedin.com/in/clemente-paredes-g%C3%B3mez-27b2a8201,Clemente,Paredes Gómez,,Junior,Estudiante en Universidad de Chile,1,14@gmail.com,14@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,15,Recorrido,http://www.recorrido.cl/,Reinventing long-distance bus travel to provide smart and affordable mobility for everyone in Latin America.,Seed,,,,$600 000,Mobility,11-50,10+,,Ruby on Rails,"Vue.js, TypeScript - Tailwind + SCSS ",,"ElasticSearch, Redis y PostgreSQL, Jenkins ",,,,Airnguru,true,2,15,15,https://www.linkedin.com/in/alonsobm,Alonso,Bobadilla Montoya,,Mid-Senior,Senior Developer,1,15@gmail.com,15@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,16,SimpliRoute ,http://www.simpliroute.com,"SimpliRoute is an information technology company that specializes in the optimization, logistics, innovation, and big data. The company is dedicated to process optimization by means of designing innovative technological solutions for highly complex problems.",Series A,true ,,,,Logistics ,51-100,25+,,"Python, Java, Go ",,Queues (Kafka/RabbitMQ),"AWS, Microservices, Relacionales (MySql, Postgres), KVS, No-SQL (*);",,,,Beetrack ,true,3,16,16,https://www.linkedin.com/in/stephanie-burckhardt-30209725,Stephanie,Burckhardt,Backend,Senior,Backend Developer,1,16@gmail.com,16@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,17,Talana,https://www.talana.com/,"Talana is an HCM platform that does payroll processing, digital signature, and attendance rosts with an easy to use interface.",Seed,,,,$50 000,Saas,11-50,37+,,Django,Vue.js,"Celery, RabbitMQ","PostgreSQL, Redis ","Jira, Gitlab, Sentry, Flower, CI/CD: Docker, Docker Compose",,,Beetrack ,true,3,17,17,https://www.linkedin.com/in/ignacio-umaran-53115124,Ignacio,Umaran,Frontend,Senior,Frontend developer,1,17@gmail.com,17@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,18,Time Jobs,https://www.timejobs.work/,Staffing on Demand Company,Seed,,,,$1 100 000,Marketplace,101-250,20+,,Node.js,"React.js (Next), Redux, Angular",,AWS,,,,Beetrack ,true,3,18,18,https://www.linkedin.com/in/kalelc,Andres,Colonia,,Senior,VP of Engineering,1,18@gmail.com,18@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,19,Webdox ,https://www.webdoxclm.com/,Webdox is a SaaS CLM focused on large and medium companies in LATAM and the US.,Seed,,true,,,Saas,11-50,25+,,Ruby on rails,React.js,,microservicios en API,"Jira, SonarQ, jUnit, Selenium, jMeter, Postman, etc",,,Beetrack ,true,3,19,19,https://www.linkedin.com/in/daniel-rivera-b3041a48,Daniel,Rivera,Frontend,Senior,Frontend Developer,1,19@gmail.com,19@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,20,WherEX,https://www.wherex.com/,wherEX is an e-sourcing solution that leverages machine learning to reduce procurement costs across all industries.,Series A,true ,,,$7 000 000,Saas,51-100,10+,,"PHP, (Symphony), Go ",Angular,,"MySQL y PostgreSQL, MangoDB, Redis",Git y BitBucket.,,,Beetrack ,true,3,20,20,https://www.linkedin.com/in/alexarenasf,Alex,Arenas Fuentes,Frontend,Senior,Frontend Developer ,1,20@gmail.com,20@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,21,Xepelin,https://www.xepelin.com/,"Xepelin provides financial services for small and medium-sized business in Latin America. Debt financing in particular. Similar companies include October (🇫🇷), Funding Circle (🏴󠁧󠁢󠁥󠁮󠁧󠁿).",Debt Financing,true,true,,$200 000 000,Fintech,101-250,25+,,"NodeJs,","React.js(Redux), ExpressJs","Yarn, Webpack","AWS, Amazon CloudFront, PosgreSQL, MariaDB ","Docker, and Kubernetes, ",,,Beetrack ,true,3,21,21,https://www.linkedin.com/in/natacha-avil%C3%A9s-06700a132,Natacha,Avilés,Frontend,,Frontend Developer ,1,21@gmail.com,21@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,22,Mulesoft ,http://www.mulesoft.com,"MuleSoft, owned by Salesforce, provides an integration and API platform that makes it easy to connect data from any system to create connected experiences.",Acquired,,,,,Saas,1001-5000,280+,,,,,,,,,Beetrack ,true,3,22,22,https://www.linkedin.com/in/julians-iturra-454282b5,Julians,Iturra,Backend,,Back End developer,1,22@gmail.com,22@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,23,4Talent,https://4talent.cl/,4Talent is a technological company specialized in the development of integral solutions for the management of people and human resources.,N/A,,,,,Professional Servics,11-50,10+,,,,,,,,,Beetrack ,true,3,23,23,https://www.linkedin.com/in/asilva-dev,Alejandro,Silva Aliaga,Frontend,,Front-end developer,1,23@gmail.com,23@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,24,Acid Labs,http://www.acid.cl/,Acid Labs is a technology company that offers a range of end-to-end software development and design solutions.,Seed,,,,,Professional Servics,51-100,100+,,,,,,,,,Beetrack ,true,3,24,24,https://www.linkedin.com/in/rosmeli-quintero-a5021a137,Rosmeli,Quintero,Frontend,,Frontend developer ,1,24@gmail.com,24@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,25,AIM Manager,https://www.aimmanager.com,"B2B SaaS Company, Workforce Management Solutions applied to Retail and Real Estate industry.",N/A,,,,,Proptech,11-50,5+,,,,,,,,,Beetrack ,true,3,25,25,https://www.linkedin.com/in/hern%C3%A1n-anabal%C3%B3n-chac%C3%B3n-cl,Hernán,Anabalón Chacón,Frontend,,Front-end developer,1,25@gmail.com,25@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,26,Banco BICE,https://www.bice.cl,Banco BICE is a Chilean bank.,N/A,,,,,Financial Services,1001-5000,45+,,,,,,,,,Betterfly,true,4,26,26,https://www.linkedin.com/in/pablofcruz,Pablo,Fabian Cruz Landeros,Full Stack,,Scrum Master,1,26@gmail.com,26@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,27,Boston Consulting Group (BCG),http://www.bcg.com,The Boston Consulting Group is a global management consulting firm and an advisor on business strategy.,N/A,,,,,Professional Servics,10001,1000+,,,,,,,,,Betterfly,true,4,27,27,https://www.linkedin.com/in/nelson-valenzuela-pe%C3%B1a-98b3a114a,Nelson,Valenzuela Peña,Backend,Senior,Sr Backend engineer,1,27@gmail.com,27@gmail.com,Santiago 🇨🇱,7+ years xp,"Senior Backend engineer, Tech lead",,,,,"$60,000","$55,000",true,,,true,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,28,ComunidadFeliz,http://www.comunidadfeliz.com/,ComunidadFeliz.com is a finance management software for the administration of buildings and condominiums.,Series A,true ,,,$2 000 000,Fintech,11-50,20+,,,,,,,,,Betterfly,true,4,28,28,https://www.linkedin.com/in/carolinacorreayanez,carolina,correa,Frontend,,Front-end Developer,1,28@gmail.com,28@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,29,Cornershop,https://cornershopapp.com/,"Cornershop, owned by Uber, is the Instacart (on-demand grocery delivery service) of Latin America.",Series B,true ,,,$21 000 000,"Ecommerce, On-Demand",1001-5000,300+,,,,,,,,,Betterfly,true,4,29,29,https://www.linkedin.com/in/juan-escudero-94334124,Juan,Escudero,Frontend,,Frontend Developer,1,29@gmail.com,29@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,30,Devartis,https://www.devartis.com,Software development outsourcing,N/A,,,,,Saas,11-50,30+,,,,,,,,,Betterfly,true,4,30,30,https://www.linkedin.com/in/jessicaandreacatalanosorio88,Jessica,Andrea Catalan Osorio,Backend,Senior,Back-end developer ,1,30@gmail.com,30@gmail.com,Santiago 🇨🇱,7+ years xp,"Senior Backend engineer, Tech lead, Manager",,,,,"$60,000","$50,000",true,,,true,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,31,Edipro,https://www.edipro.cl,"EdiPro is an integral platform for the management of security, finances and spaces of buildings and condominiums.",N/A,,,,$40 000,Saas,1-10,1+,,,,,,,,,Buk,true,5,31,31,https://www.linkedin.com/in/sergiotorressantander,Sergio,Torres Santander,Full Stack,,Sr Full Stack Engineer ,1,31@gmail.com,31@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,32,El Tiempo,https://www.eltiempo.com/,El Tiempo is daily newspaper publisher company in Columbia.,N/A,,,,,Publisher,1001-5000,20+,,,,,,,,,Buk,true,5,32,32,https://www.linkedin.com/in/felgaete,Felipe,Gaete,Full Stack,,Software engineer ,1,32@gmail.com,32@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,33,Falabella,http://falabella.com,Falabella is a multinational chain of department stores owned by Chilean multinational company,N/A,,,,,Retail,10001,340+,,,,,,,,,Buk,true,5,33,33,https://www.linkedin.com/in/gugat,Gustavo,Salazar Loor,Backend,,Tech Lead,1,33@gmail.com,33@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,34,Globant,https://www.global66.com/,Globant is a digitally native technology services company building a new way of being digital.,IPO,,,,,Professional Servics,5001-10000,2500+,,,,,,,,,Buk,true,5,34,34,https://www.linkedin.com/in/josefina-hidalgo-jullian-a02625bb,Josefina,Hidalgo Jullian,Full Stack,,Full-stack engineer ,1,34@gmail.com,34@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,35,Latam Airlines,http://www.latamairlinesgroup.net,Latam Airlines Gp is an airline group with a vast network around the world offering air services to around 146 destinations in 26 countries.,N/A,,,,,Transportation,1001-5000,100+,,,,,,,,,Buk,true,5,35,35,https://www.linkedin.com/in/jos%C3%A9-sol%C3%A1s-moreno-745328144,José,Solás Moreno,Full Stack,,Tech Lead ,1,35@gmail.com,35@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,36,MediaMonks,http://www.media.monks.com,"Media.Monks is a global, digital-first marketing and advertising services company.",N/A,,,,,Advertising,501-1000,95+,,,,,,,,,Buk,true,5,36,36,https://www.linkedin.com/in/giovannidelucca,Giovanni,De Lucca,Manager,,Tech Lead ,1,36@gmail.com,36@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,37,Modyo,http://www.modyo.com/,Modyo provides software to build and manage the digital experience for leading organizations in Latin America.,Series Unknown,,,,,Saas,51-100,30+,,,,,,,,,Buk,true,5,37,37,https://www.linkedin.com/in/camiloflores,Camilo,Flores,Manager,,Software Engineer ,1,37@gmail.com,37@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,38,NCR Corporation,https://www.ncrcolibri.com/,"NCR Corporation is a leading software and services-led enterprise that is a provider in the financial, retail and hospitality industries.",N/A,,,,,Saas,10001,35+,,,,,,,,,Buk,true,5,38,38,https://www.linkedin.com/in/rsateler,Ricardo,Sateler,Full Stack,,Full Stack Developer,1,38@gmail.com,38@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,39,Cardumen Latam,,Digital agency - from Design to web development. ,N/A,,,,,Agency,,,,,,,,,,,Buk,true,5,39,39,https://www.linkedin.com/in/arieldelvallecarnicero,Ariel,del Valle Carnicero,Backend,,Backend Developer,1,39@gmail.com,39@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,40,Digitali,,Digital agency - from Design to web development. ,N/A,,,,,Agency,,,,,,,,,,,Buk,true,5,40,40,https://www.linkedin.com/in/kb714,Alexis,Aguirre Catalán,Manager,,Tech Lead ,1,40@gmail.com,40@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,41,Yapo,,Yapo.cl is a safe and free trade site for Chileans who want to buy and sell anything in a safe and easy way.,Acquired,,,,$19 000 000 (Acquired),Marketplace,100+,20+,,,,,,,,,Buk,true,5,41,41,https://www.linkedin.com/in/meraioth-ulloa-salazar-46231a107,Meraioth,Ulloa Salazar,Manager,,Tech Lead,1,41@gmail.com,41@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,42,Admetricks,,"Admetricks focuses on providing agencies, publishers, and advertisers with business intelligence for online advertising.",Seed,,,,$300 000,AdTech,30+,7+,,,,,,,,,Buk,true,5,42,42,https://www.linkedin.com/in/cencina,César,Enrique Encina León,Manager,,Tech Lead ,1,42@gmail.com,42@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,43,PropertySimple,,PropertySimple creates content for real estate agents and posts it automatically to their social media accounts.,Seed,,,,$3 400 000,PropTech,10+,,,,,,,,,,Buk,true,5,43,43,https://www.linkedin.com/in/ezequiel-amador-ramirez-garcia-9ab141114,Ezequiel,Amador Ramirez Garcia,Manager,,Tech Lead ,1,43@gmail.com,43@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,44,Capitaria,,Capitaria creates trading technology for the financial market. ,Self funded,,,,Self-funded,Fintech,50-100,15+,,,,,,,,,Buk,true,5,44,44,https://www.linkedin.com/in/karolym-montiel-2174b4166,Karolym,Montiel,Frontend,,Frontend developer ,1,44@gmail.com,44@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,45,Microsoft ,,,,,,,,,,,,,,,,,,,Buk,true,5,45,45,https://www.linkedin.com/in/pablo-mella-parada-131a68155,Pablo,Mella Parada,Backend,,Backend Developer,1,45@gmail.com,45@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Buk,true,5,46,46,https://www.linkedin.com/in/jarismendi,Julio,Arismendi,Full Stack,,Software Engineer ,1,46@gmail.com,46@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Buk,true,5,47,47,https://www.linkedin.com/in/juliolinarezescobar,Julio,José Linárez Escobar,Full Stack,,Web developer ,1,47@gmail.com,47@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Buk,true,5,48,48,https://www.linkedin.com/in/diego-quiroz-66861b108,Diego,Quiroz,Full Stack ,,Software Developer,1,48@gmail.com,48@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Buk,true,5,49,49,https://www.linkedin.com/in/enmyperez,Enmy,Perez,Full Stack,,Software Engineer,1,49@gmail.com,49@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Buk,true,5,50,50,https://www.linkedin.com/in/john-bidwell-boitano-a5230979,John,Bidwell Boitano,Full Stack,,Software Engineer,1,50@gmail.com,50@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Chattigo,true,6,51,51,https://www.linkedin.com/in/javier-reyes-57998348,Javier,Reyes,Full Stack,,Sr Software Developer,1,51@gmail.com,51@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Chattigo,true,6,52,52,https://www.linkedin.com/in/arielorta,Ariel,Orta,Manager,,Tech lead ,1,52@gmail.com,52@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Chattigo,true,6,53,53,https://www.linkedin.com/in/leinier-alvarez-armas-272aab70,Leinier,Alvarez Armas,Backend ,,Architect ,1,53@gmail.com,53@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,Chattigo,true,6,54,54,https://www.linkedin.com/in/hugo-javier-pe%C3%B1a-67474a121,Hugo,Javier Peña,Manager,,Software Developer ,1,54@gmail.com,54@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,ComparaOnline ,true,7,55,55,https://www.linkedin.com/in/eseceve,Sebastian,Contreras Verdugo,Frontend,,Tech Lead Frontend,1,55@gmail.com,55@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
,,,,,,,,,,,,,,,,,,,,,,,,,ComparaOnline ,true,7,56,56,https://www.linkedin.com/in/muruasebastian,Sebastian,Murúa,Backend ,,Backend developer ,1,56@gmail.com,56@gmail.com,Santiago 🇨🇱,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,@gmail.com
